customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,tenure-rounded,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,avg_mon_charges,avg_rounded,Contract_type,Phone_service,Internet_service
0023-XUOPT,Female,0,Yes,No,2,2,0,Electronic check,94.1,1215.6,Yes,12.91817216,12.92,TRUE,TRUE,TRUE,TRUE,TRUE,1,2019-08-31,94.09,94.10,Month-to-Month,Two or More Lines,Fiber Optic
0027-KWYKW,Female,0,Yes,Yes,2,2,0,Electronic check,83.75,1849.95,No,22.08895522,22.09,TRUE,FALSE,TRUE,TRUE,TRUE,3,2018-10-31,83.75,83.70,Month-to-Month,Two or More Lines,Fiber Optic
0030-FNXPP,Female,0,No,No,1,0,0,Mailed check,19.85,57.2,No,2.881612091,2.88,TRUE,FALSE,TRUE,FALSE,TRUE,0,2020-06-30,19.86,19.90,Month-to-Month,One Line,No Internet Service
0031-PVLZI,Female,0,Yes,Yes,1,0,0,Mailed check,20.35,76.35,Yes,3.751842752,3.75,TRUE,TRUE,TRUE,FALSE,FALSE,3,2020-05-31,20.36,20.40,Month-to-Month,One Line,No Internet Service
0032-PGELS,Female,0,Yes,Yes,0,1,0,Bank transfer (automatic),30.5,30.5,Yes,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,3,2020-07-31,30.50,30.50,Month-to-Month,No Phone Service,DSL
0036-IHMOT,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),103.7,5656.75,No,54.54918033,54.55,TRUE,FALSE,TRUE,TRUE,TRUE,3,2016-02-29,103.70,103.70,1 Year,One Line,Fiber Optic
0040-HALCW,Male,0,Yes,Yes,1,0,2,Credit card (automatic),20.4,1090.6,No,53.46078431,53.46,FALSE,FALSE,TRUE,FALSE,TRUE,3,2016-03-31,20.40,20.40,2 Year,One Line,No Internet Service
0042-JVWOJ,Male,0,No,No,1,0,1,Bank transfer (automatic),19.6,471.85,No,24.07397959,24.07,FALSE,FALSE,TRUE,FALSE,TRUE,0,2018-08-31,19.60,19.60,1 Year,One Line,No Internet Service
0042-RLHYP,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),19.7,1396.9,No,70.90862944,70.91,TRUE,FALSE,TRUE,FALSE,TRUE,3,2014-10-31,19.70,19.70,2 Year,One Line,No Internet Service
0048-LUMLS,Male,0,Yes,Yes,1,2,1,Credit card (automatic),91.2,3247.55,No,35.60910088,35.61,FALSE,FALSE,TRUE,TRUE,TRUE,3,2017-09-30,91.20,91.20,1 Year,One Line,Fiber Optic
0048-PIHNL,Female,0,Yes,No,1,0,1,Bank transfer (automatic),20.45,900.9,No,44.05378973,44.05,TRUE,FALSE,TRUE,FALSE,TRUE,1,2016-12-31,20.45,20.50,1 Year,One Line,No Internet Service
0052-DCKON,Male,0,Yes,No,2,2,1,Bank transfer (automatic),115.8,7942.15,No,68.58506045,68.59,FALSE,FALSE,TRUE,TRUE,TRUE,1,2014-12-31,115.79,115.80,1 Year,Two or More Lines,Fiber Optic
0052-YNYOT,Female,0,No,No,1,0,1,Electronic check,20.55,1343.4,No,65.37226277,65.37,TRUE,FALSE,TRUE,FALSE,FALSE,0,2015-03-31,20.55,20.60,1 Year,One Line,No Internet Service
0056-EPFBG,Male,0,Yes,Yes,0,1,2,Credit card (automatic),39.4,825.4,No,20.94923858,20.95,FALSE,FALSE,FALSE,TRUE,FALSE,3,2018-12-31,39.40,39.40,2 Year,No Phone Service,DSL
0057-QBUQH,Female,0,No,Yes,2,0,2,Electronic check,25.1,1070.15,No,42.63545817,42.64,TRUE,FALSE,TRUE,FALSE,TRUE,2,2017-02-28,25.10,25.10,2 Year,Two or More Lines,No Internet Service
0058-EVZWM,Female,0,Yes,No,2,2,0,Bank transfer (automatic),89.8,4959.6,No,55.22939866,55.23,TRUE,FALSE,TRUE,TRUE,TRUE,1,2016-01-31,89.80,89.80,Month-to-Month,Two or More Lines,Fiber Optic
0060-FUALY,Female,0,Yes,No,2,2,0,Electronic check,94.75,5597.65,No,59.07810026,59.08,TRUE,FALSE,TRUE,TRUE,TRUE,1,2015-09-30,94.75,94.70,Month-to-Month,Two or More Lines,Fiber Optic
0064-SUDOG,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),20.3,224.5,No,11.0591133,11.06,TRUE,FALSE,TRUE,FALSE,TRUE,3,2019-09-30,20.30,20.30,2 Year,One Line,No Internet Service
0064-YIJGF,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),75.75,1929,No,25.46534653,25.47,FALSE,FALSE,TRUE,TRUE,TRUE,3,2018-07-31,75.74,75.70,Month-to-Month,Two or More Lines,Fiber Optic
0067-DKWBL,Male,1,No,No,1,1,0,Electronic check,49.25,91.1,Yes,1.849746193,1.85,FALSE,TRUE,TRUE,TRUE,TRUE,0,2020-07-31,49.24,49.20,Month-to-Month,One Line,DSL
0068-FIGTF,Female,0,No,No,1,1,1,Mailed check,78.2,2078.95,No,26.58503836,26.59,TRUE,FALSE,TRUE,TRUE,TRUE,0,2018-06-30,78.19,78.20,1 Year,One Line,DSL
0071-NDAFP,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.5,630.6,No,24.72941176,24.73,FALSE,FALSE,TRUE,FALSE,TRUE,3,2018-08-31,25.50,25.50,2 Year,Two or More Lines,No Internet Service
0074-HDKDG,Male,0,Yes,Yes,1,1,1,Bank transfer (automatic),61.6,1611,No,26.1525974,26.15,FALSE,FALSE,TRUE,TRUE,FALSE,3,2018-06-30,61.61,61.60,1 Year,One Line,DSL
0076-LVEPS,Male,0,No,Yes,0,1,0,Mailed check,45,1242.45,No,27.61,27.61,FALSE,FALSE,FALSE,TRUE,FALSE,2,2018-05-31,45.00,45.00,Month-to-Month,No Phone Service,DSL
0078-XZMHT,Male,0,Yes,No,2,1,2,Bank transfer (automatic),85.15,6316.2,No,74.17733412,74.18,FALSE,FALSE,TRUE,TRUE,TRUE,1,2014-06-30,85.15,85.10,2 Year,Two or More Lines,DSL
0080-EMYVY,Female,0,No,No,1,1,1,Credit card (automatic),51.45,727.85,No,14.14674441,14.15,TRUE,FALSE,TRUE,TRUE,TRUE,0,2019-06-30,51.44,51.40,1 Year,One Line,DSL
0080-OROZO,Female,0,No,No,1,2,1,Electronic check,99.25,3532,No,35.58690176,35.59,TRUE,FALSE,TRUE,TRUE,TRUE,0,2017-09-30,99.24,99.20,1 Year,One Line,Fiber Optic
0082-LDZUE,Male,0,No,No,1,1,0,Mailed check,44.3,44.3,No,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,0,2020-07-31,44.30,44.30,Month-to-Month,One Line,DSL
0082-OQIQY,Male,0,No,No,1,2,0,Electronic check,94.2,2607.6,No,27.68152866,27.68,FALSE,FALSE,TRUE,TRUE,TRUE,0,2018-05-31,94.21,94.20,Month-to-Month,One Line,Fiber Optic
0083-PIVIK,Male,0,No,No,2,1,1,Electronic check,81.25,5567.55,No,68.52369231,68.52,FALSE,FALSE,TRUE,TRUE,TRUE,0,2014-12-31,81.25,81.30,1 Year,Two or More Lines,DSL
0089-IIQKO,Female,0,Yes,Yes,2,2,0,Credit card (automatic),99.95,3767.4,No,37.69284642,37.69,TRUE,FALSE,TRUE,TRUE,TRUE,3,2017-07-31,99.96,100.00,Month-to-Month,Two or More Lines,Fiber Optic
0093-EXYQL,Female,1,No,No,1,2,0,Electronic check,91.55,3673.6,No,40.12670672,40.13,TRUE,FALSE,TRUE,TRUE,TRUE,0,2017-04-30,91.54,91.50,Month-to-Month,One Line,Fiber Optic
0093-XWZFY,Male,0,No,No,2,2,0,Credit card (automatic),104.5,4036.85,Yes,38.63014354,38.63,FALSE,TRUE,TRUE,TRUE,TRUE,0,2017-06-30,104.50,104.50,Month-to-Month,Two or More Lines,Fiber Optic
0094-OIFMO,Female,1,No,No,1,2,0,Electronic check,95,1120.3,Yes,11.79263158,11.79,TRUE,TRUE,TRUE,TRUE,TRUE,0,2019-09-30,95.02,95.00,Month-to-Month,One Line,Fiber Optic
0096-BXERS,Female,0,Yes,No,2,1,0,Electronic check,50.35,314.55,No,6.247269116,6.25,TRUE,FALSE,TRUE,TRUE,TRUE,1,2020-02-29,50.33,50.30,Month-to-Month,Two or More Lines,DSL
0096-FCPUF,Male,0,No,No,2,1,0,Mailed check,64.5,1888.45,No,29.27829457,29.28,FALSE,FALSE,TRUE,TRUE,TRUE,0,2018-03-31,64.50,64.50,Month-to-Month,Two or More Lines,DSL
0098-BOWSO,Male,0,No,No,1,0,0,Electronic check,19.4,529.8,No,27.30927835,27.31,FALSE,FALSE,TRUE,FALSE,TRUE,0,2018-05-31,19.40,19.40,Month-to-Month,One Line,No Internet Service
0100-DUVFC,Male,1,Yes,No,2,2,1,Electronic check,104.8,7308.95,No,69.74188931,69.74,FALSE,FALSE,TRUE,TRUE,TRUE,1,2014-11-30,104.80,104.80,1 Year,Two or More Lines,Fiber Optic
0103-CSITQ,Female,0,Yes,No,2,2,1,Bank transfer (automatic),109.4,6252.7,No,57.15447898,57.15,TRUE,FALSE,TRUE,TRUE,TRUE,1,2015-11-30,109.41,109.40,1 Year,Two or More Lines,Fiber Optic
0104-PPXDV,Male,0,Yes,No,1,1,1,Credit card (automatic),50.3,2878.55,No,57.22763419,57.23,FALSE,FALSE,TRUE,TRUE,TRUE,1,2015-11-30,50.30,50.30,1 Year,One Line,DSL
0106-GHRQR,Male,0,No,No,2,1,0,Bank transfer (automatic),71.4,1212.1,No,16.97619048,16.98,FALSE,FALSE,TRUE,TRUE,TRUE,0,2019-04-30,71.38,71.40,Month-to-Month,Two or More Lines,DSL
0106-UGRDO,Female,0,Yes,No,2,2,2,Electronic check,116,8182.85,No,70.54181034,70.54,TRUE,FALSE,TRUE,TRUE,TRUE,1,2014-10-31,116.00,116.00,2 Year,Two or More Lines,Fiber Optic
0107-WESLM,Male,0,No,No,1,0,0,Electronic check,19.85,19.85,Yes,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,0,2020-07-31,19.85,19.90,Month-to-Month,One Line,No Internet Service
0107-YHINA,Male,0,No,Yes,2,2,0,Electronic check,99.75,99.75,Yes,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,2,2020-07-31,99.75,99.80,Month-to-Month,Two or More Lines,Fiber Optic
0111-KLBQG,Male,1,Yes,Yes,1,2,0,Mailed check,93.95,2861.45,No,30.45715806,30.46,FALSE,FALSE,TRUE,TRUE,TRUE,3,2018-02-28,93.94,93.90,Month-to-Month,One Line,Fiber Optic
0112-QAWRZ,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),90.8,1442.2,No,15.88325991,15.88,FALSE,FALSE,TRUE,TRUE,TRUE,3,2019-05-31,90.82,90.80,Month-to-Month,Two or More Lines,Fiber Optic
0112-QWPNC,Male,0,Yes,No,2,1,1,Electronic check,84.35,4059.35,Yes,48.1250741,48.13,FALSE,TRUE,TRUE,TRUE,FALSE,1,2016-08-31,84.34,84.30,1 Year,Two or More Lines,DSL
0114-IGABW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),58.25,4145.9,No,71.17424893,71.17,TRUE,FALSE,FALSE,TRUE,FALSE,1,2014-09-30,58.25,58.30,2 Year,No Phone Service,DSL
0114-PEGZZ,Female,0,No,No,2,2,0,Electronic check,107.55,3645.5,No,33.89586239,33.9,TRUE,FALSE,TRUE,TRUE,TRUE,0,2017-11-30,107.54,107.50,Month-to-Month,Two or More Lines,Fiber Optic
0114-RSRRW,Female,0,Yes,No,1,0,0,Bank transfer (automatic),19.95,187.75,No,9.411027569,9.41,TRUE,FALSE,TRUE,FALSE,TRUE,1,2019-11-30,19.95,20.00,Month-to-Month,One Line,No Internet Service
0115-TFERT,Male,0,Yes,No,2,2,0,Electronic check,111.2,2317.1,Yes,20.83723022,20.84,FALSE,TRUE,TRUE,TRUE,FALSE,1,2018-12-31,111.19,111.20,Month-to-Month,Two or More Lines,Fiber Optic
0117-LFRMW,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),40.2,1448.8,Yes,36.039801,36.04,FALSE,TRUE,FALSE,TRUE,FALSE,3,2017-08-31,40.20,40.20,Month-to-Month,No Phone Service,DSL
0118-JPNOY,Female,1,No,No,1,2,0,Credit card (automatic),85.8,2193.65,No,25.56701632,25.57,TRUE,FALSE,TRUE,TRUE,FALSE,0,2018-07-31,85.79,85.80,Month-to-Month,One Line,Fiber Optic
0121-SNYRK,Male,0,No,No,0,1,1,Mailed check,35.4,1748.9,No,49.4039548,49.4,FALSE,FALSE,FALSE,TRUE,FALSE,0,2016-07-31,35.40,35.40,1 Year,No Phone Service,DSL
0122-OAHPZ,Female,0,No,No,2,2,0,Electronic check,73.85,511.25,Yes,6.92281652,6.92,TRUE,TRUE,TRUE,TRUE,TRUE,0,2020-02-29,73.88,73.90,Month-to-Month,Two or More Lines,Fiber Optic
0123-CRBRT,Female,0,Yes,Yes,2,1,2,Mailed check,88.1,5526.75,No,62.73269012,62.73,TRUE,FALSE,TRUE,TRUE,TRUE,3,2015-06-30,88.10,88.10,2 Year,Two or More Lines,DSL
0125-LZQXK,Male,0,No,No,1,2,0,Electronic check,101.35,1553.95,Yes,15.3325111,15.33,FALSE,TRUE,TRUE,TRUE,FALSE,0,2019-05-31,101.37,101.40,Month-to-Month,One Line,Fiber Optic
0128-MKWSG,Female,0,No,Yes,0,1,0,Mailed check,45.8,1147,No,25.04366812,25.04,TRUE,FALSE,FALSE,TRUE,FALSE,2,2018-07-31,45.81,45.80,Month-to-Month,No Phone Service,DSL
0129-KPTWJ,Male,0,Yes,No,1,2,0,Electronic check,94.65,6747.35,No,71.28737454,71.29,FALSE,FALSE,TRUE,TRUE,TRUE,1,2014-09-30,94.65,94.60,Month-to-Month,One Line,Fiber Optic
0129-QMPDR,Male,0,Yes,Yes,1,0,1,Bank transfer (automatic),20.5,865.05,No,42.19756098,42.2,FALSE,FALSE,TRUE,FALSE,TRUE,3,2017-02-28,20.50,20.50,1 Year,One Line,No Internet Service
0130-SXOUN,Male,0,No,No,2,2,0,Credit card (automatic),89.4,5976.9,No,66.8557047,66.86,FALSE,FALSE,TRUE,TRUE,TRUE,0,2015-02-28,89.39,89.40,Month-to-Month,Two or More Lines,Fiber Optic
0133-BMFZO,Female,0,No,No,1,2,0,Electronic check,86.25,181.65,Yes,2.106086957,2.11,TRUE,TRUE,TRUE,TRUE,TRUE,0,2020-06-30,86.09,86.10,Month-to-Month,One Line,Fiber Optic
0134-XWXCE,Female,1,No,No,1,1,1,Bank transfer (automatic),74.85,3268.05,No,43.66132265,43.66,TRUE,FALSE,TRUE,TRUE,TRUE,0,2017-01-31,74.85,74.90,1 Year,One Line,DSL
0135-NMXAP,Female,0,No,No,2,2,0,Bank transfer (automatic),89.75,1052.4,Yes,11.72590529,11.73,TRUE,TRUE,TRUE,TRUE,TRUE,0,2019-09-30,89.72,89.70,Month-to-Month,Two or More Lines,Fiber Optic
0136-IFMYD,Male,1,Yes,No,2,2,2,Electronic check,109.95,7634.25,No,69.43383356,69.43,FALSE,FALSE,TRUE,TRUE,TRUE,1,2014-11-30,109.96,110.00,2 Year,Two or More Lines,Fiber Optic
0137-OCGAB,Female,0,No,No,2,2,0,Mailed check,80.2,80.2,Yes,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,2020-07-31,80.20,80.20,Month-to-Month,Two or More Lines,Fiber Optic
0137-UDEUO,Female,0,No,No,1,0,0,Mailed check,19.85,63.75,Yes,3.211586902,3.21,TRUE,TRUE,TRUE,FALSE,TRUE,0,2020-05-31,19.86,19.90,Month-to-Month,One Line,No Internet Service
0139-IVFJG,Female,0,Yes,No,1,2,0,Electronic check,90.35,190.5,No,2.108467072,2.11,TRUE,FALSE,TRUE,TRUE,TRUE,1,2020-06-30,90.28,90.30,Month-to-Month,One Line,Fiber Optic
0141-YEAYS,Female,1,No,No,2,2,0,Bank transfer (automatic),86.45,2401.05,No,27.77385772,27.77,TRUE,FALSE,TRUE,TRUE,TRUE,0,2018-05-31,86.46,86.50,Month-to-Month,Two or More Lines,Fiber Optic
0142-GVYSN,Male,0,No,No,1,0,0,Electronic check,20.3,511.25,No,25.18472906,25.18,FALSE,FALSE,TRUE,FALSE,TRUE,0,2018-07-31,20.30,20.30,Month-to-Month,One Line,No Internet Service
0147-ESWWR,Female,1,Yes,No,2,2,0,Electronic check,101.25,3949.15,No,39.00395062,39,TRUE,FALSE,TRUE,TRUE,TRUE,1,2017-05-31,101.26,101.30,Month-to-Month,Two or More Lines,Fiber Optic
0148-DCDOS,Male,0,No,No,2,2,0,Bank transfer (automatic),94.7,2362.1,Yes,24.94297782,24.94,FALSE,TRUE,TRUE,TRUE,TRUE,0,2018-08-31,94.71,94.70,Month-to-Month,Two or More Lines,Fiber Optic
0151-ONTOV,Female,0,No,No,1,2,0,Mailed check,70.9,70.9,Yes,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,2020-07-31,70.90,70.90,Month-to-Month,One Line,Fiber Optic
0156-FVPTA,Male,0,Yes,No,1,1,0,Electronic check,54.2,1152.7,Yes,21.26752768,21.27,FALSE,TRUE,TRUE,TRUE,TRUE,1,2018-11-30,54.19,54.20,Month-to-Month,One Line,DSL
0164-APGRB,Female,0,No,No,2,2,2,Electronic check,114.9,8496.7,No,73.948651,73.95,TRUE,FALSE,TRUE,TRUE,TRUE,0,2014-07-31,114.90,114.90,2 Year,Two or More Lines,Fiber Optic
0164-XAIRP,Female,0,No,No,1,0,2,Bank transfer (automatic),19.55,470.2,No,24.0511509,24.05,TRUE,FALSE,TRUE,FALSE,TRUE,0,2018-08-31,19.55,19.60,2 Year,One Line,No Internet Service
0168-XZKBB,Female,0,Yes,No,2,2,0,Electronic check,86.85,1564.4,No,18.01266552,18.01,TRUE,FALSE,TRUE,TRUE,TRUE,1,2019-02-28,86.86,86.90,Month-to-Month,Two or More Lines,Fiber Optic
0174-QRVVY,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.35,1847.55,No,72.8816568,72.88,FALSE,FALSE,TRUE,FALSE,TRUE,3,2014-08-31,25.35,25.40,2 Year,Two or More Lines,No Internet Service
0177-PXBAT,Male,1,Yes,No,2,2,0,Bank transfer (automatic),109.9,3694.7,No,33.61874431,33.62,FALSE,FALSE,TRUE,TRUE,TRUE,1,2017-11-30,109.90,109.90,Month-to-Month,Two or More Lines,Fiber Optic
0178-CIIKR,Female,0,No,No,1,0,0,Mailed check,19.95,58,No,2.90726817,2.91,TRUE,FALSE,TRUE,FALSE,TRUE,0,2020-06-30,19.93,19.90,Month-to-Month,One Line,No Internet Service
0178-SZBHO,Male,0,Yes,Yes,2,2,0,Electronic check,87.2,4017.45,No,46.07167431,46.07,FALSE,FALSE,TRUE,TRUE,TRUE,3,2016-10-31,87.20,87.20,Month-to-Month,Two or More Lines,Fiber Optic
0181-RITDD,Male,0,Yes,Yes,1,2,2,Mailed check,108.15,6825.65,No,63.11280629,63.11,FALSE,FALSE,TRUE,TRUE,TRUE,3,2015-05-31,108.15,108.20,2 Year,One Line,Fiber Optic
0186-CAERR,Male,0,No,No,2,2,1,Bank transfer (automatic),116.3,8309.55,No,71.44926913,71.45,FALSE,FALSE,TRUE,TRUE,TRUE,0,2014-09-30,116.30,116.30,1 Year,Two or More Lines,Fiber Optic
0187-QSXOE,Male,1,Yes,No,1,2,0,Electronic check,89,605.45,No,6.802808989,6.8,FALSE,FALSE,TRUE,TRUE,TRUE,1,2020-02-29,89.04,89.00,Month-to-Month,One Line,Fiber Optic
0187-WZNAB,Female,0,Yes,Yes,1,2,0,Mailed check,74.4,1972.35,No,26.51008065,26.51,TRUE,FALSE,TRUE,TRUE,TRUE,3,2018-06-30,74.40,74.40,Month-to-Month,One Line,Fiber Optic
0188-GWFLE,Male,0,No,No,1,0,0,Mailed check,20.05,33.7,No,1.680798005,1.68,FALSE,FALSE,TRUE,FALSE,FALSE,0,2020-07-31,20.06,20.10,Month-to-Month,One Line,No Internet Service
0191-EQUUH,Female,0,No,Yes,0,1,2,Bank transfer (automatic),35.05,844.45,No,24.09272468,24.09,TRUE,FALSE,FALSE,TRUE,FALSE,2,2018-08-31,35.05,35.10,2 Year,No Phone Service,DSL
0191-ZHSKZ,Male,1,No,No,1,1,0,Electronic check,74.75,2111.3,No,28.24481605,28.24,FALSE,FALSE,TRUE,TRUE,TRUE,0,2018-04-30,74.76,74.80,Month-to-Month,One Line,DSL
0193-ESZXP,Female,1,Yes,No,1,2,1,Credit card (automatic),105.5,6205.5,Yes,58.81990521,58.82,TRUE,TRUE,TRUE,TRUE,TRUE,1,2015-10-31,105.50,105.50,1 Year,One Line,Fiber Optic
0195-IESCP,Male,0,Yes,No,2,2,0,Electronic check,85.25,855.3,Yes,10.03284457,10.03,FALSE,TRUE,TRUE,TRUE,TRUE,1,2019-10-31,85.27,85.30,Month-to-Month,Two or More Lines,Fiber Optic
0196-JTUQI,Female,0,No,No,2,2,0,Credit card (automatic),75.2,633.85,No,8.428856383,8.43,TRUE,FALSE,TRUE,TRUE,TRUE,0,2019-12-31,75.19,75.20,Month-to-Month,Two or More Lines,Fiber Optic
0196-VULGZ,Female,1,Yes,No,2,2,0,Electronic check,84.35,474.9,Yes,5.630112626,5.63,TRUE,TRUE,TRUE,TRUE,TRUE,1,2020-03-31,84.35,84.40,Month-to-Month,Two or More Lines,Fiber Optic
0197-PNKNK,Female,0,Yes,Yes,2,2,1,Bank transfer (automatic),84.45,5848.6,No,69.25518058,69.26,TRUE,FALSE,TRUE,TRUE,TRUE,3,2014-11-30,84.44,84.40,1 Year,Two or More Lines,Fiber Optic
0201-MIBOL,Female,1,No,No,2,2,2,Bank transfer (automatic),102.4,6471.85,No,63.20166016,63.2,TRUE,FALSE,TRUE,TRUE,TRUE,0,2015-05-31,102.40,102.40,2 Year,Two or More Lines,Fiber Optic
0201-OAMXR,Female,0,No,No,2,2,1,Credit card (automatic),115.55,8127.6,Yes,70.33838165,70.34,TRUE,TRUE,TRUE,TRUE,TRUE,0,2014-10-31,115.55,115.50,1 Year,Two or More Lines,Fiber Optic
0203-HHYIJ,Male,0,No,No,2,0,1,Bank transfer (automatic),25.3,676.35,Yes,26.73320158,26.73,FALSE,TRUE,TRUE,FALSE,TRUE,0,2018-06-30,25.30,25.30,1 Year,Two or More Lines,No Internet Service
0206-OYVOC,Female,0,Yes,Yes,1,0,2,Mailed check,19.25,864.2,No,44.89350649,44.89,TRUE,FALSE,TRUE,FALSE,TRUE,3,2016-12-31,19.25,19.30,2 Year,One Line,No Internet Service
